,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
248,-0.5585,-0.068,-0.7725,-0.24,-0.747,0.056,-0.442,-0.993,-0.744,-0.13,-0.705,0.236,-0.254,-0.495,0.361,0.474,-0.368,0.156,-0.003,-0.408,-0.458
247,-0.576,-0.247,-0.7865,-0.232,-0.597,0.061,-0.452,-1.063,-0.793,-0.46,-0.529,0.467,-0.377,-0.275,0.386,0.465,-0.532,0.208,-0.454,-0.068,-0.465
246,-0.638,-0.186,-0.868,-0.352,-0.62,0.006,-0.548,-1.229,-0.576,-0.548,-0.638,0.183,-0.363,-0.118,0.05,0.44,-0.622,0.209,0.002,-0.339,-0.419
245,-0.6715,-0.349,-0.928,-0.273,-0.66,0.04,-0.591,-1.256,-0.882,-0.234,-0.461,0.199,-0.235,-0.283,0.311,0.431,-0.447,0.223,-0.054,-0.347,-0.107
244,-0.6975,-0.407,-0.9955,-0.437,-0.733,-0.03,-0.605,-1.268,-0.754,-0.375,-0.625,0.376,-0.395,-0.097,0.362,0.324,-0.452,-0.089,-0.193,-0.172,-0.705
243,-0.8955,-0.469,-1.0505,-0.578,-0.851,0.007,-0.592,-1.329,-0.747,-0.572,-0.86,-0.112,-0.569,-0.309,0.001,0.238,-0.539,-0.097,-0.367,-0.16,-0.636
242,-0.8815,-0.564,-1.108,-0.589,-0.818,-0.148,-0.724,-1.245,-1.019,-0.921,-0.935,-0.17,-0.739,-0.693,0.156,0.273,-0.617,-0.078,-0.492,-0.491,-0.393
241,-0.988,-0.714,-1.2665,-0.685,-0.866,-0.038,-0.635,-1.505,-0.796,-0.45,-0.971,-0.194,-0.351,-0.865,-0.06,-0.029,-0.648,-0.278,-0.528,-0.672,-0.787
240,-1.0535,-0.931,-1.381,-0.952,-0.974,-0.265,-0.616,-1.421,-1.149,-0.731,-1.257,-0.15,-0.781,-0.867,-0.297,-0.14,-0.719,-0.439,-0.369,-0.488,-0.429
239,-1.153,-0.977,-1.3975,-0.759,-0.946,-0.181,-0.654,-1.402,-1.134,-1.138,-0.742,-0.005,-0.771,-1.304,-0.338,0.035,-1.036,-0.239,-0.771,-0.491,-0.505
238,-1.2255,-1.193,-1.596,-1.088,-1.09,-0.151,-0.804,-1.392,-1.207,-0.73,-0.917,-0.1,-1.049,-1.044,-0.499,0.025,-1.371,-0.515,-0.883,-0.935,-0.958
237,-1.401,-1.433,-1.639,-1.11,-1.119,-0.323,-0.787,-1.717,-1.178,-1.049,-1.161,-0.498,-1.043,-1.35,-0.89,-0.623,-1.256,-0.439,-1.16,-0.852,-1.162
236,-1.5125,-1.41,-1.819,-1.396,-1.267,-0.358,-0.899,-1.729,-1.098,-1.33,-1.173,-0.307,-1.274,-1.735,-0.904,-0.62,-1.445,-0.695,-1.276,-0.982,-1.48
